Transaction ID,Company,City,KM Travelled,Price Charged,Cost of Trip,Population,Users,Customer ID,Payment_Mode,Gender,Age,Income (USD/Month),date,holiday
10007286,Pink Cab,BOSTON MA,10.53,92.31,115.83," 248,968 "," 80,021 ",59818,Card,Female,58,28750,2016-02-15,Family Day
10007305,Pink Cab,CHICAGO IL,27.6,298.19,278.76," 1,955,130 "," 164,468 ",4976,Card,Female,25,22647,2016-02-15,Family Day
10007309,Pink Cab,CHICAGO IL,30.42,306.32,358.956," 1,955,130 "," 164,468 ",3742,Card,Female,27,17480,2016-02-15,Family Day
10007341,Pink Cab,LOS ANGELES CA,26.64,535.0,314.352," 1,595,037 "," 144,132 ",8630,Card,Female,57,7696,2016-02-15,Family Day
10007342,Pink Cab,LOS ANGELES CA,18.08,339.78,184.416," 1,595,037 "," 144,132 ",7419,Card,Female,38,5041,2016-02-15,Family Day
10007349,Pink Cab,LOS ANGELES CA,40.95,746.94,442.26," 1,595,037 "," 144,132 ",7983,Cash,Female,31,16765,2016-02-15,Family Day
10007363,Pink Cab,LOS ANGELES CA,2.0,35.38,22.0," 1,595,037 "," 144,132 ",6768,Cash,Male,31,14878,2016-02-15,Family Day
10007436,Pink Cab,ORANGE COUNTY,31.68,505.3,323.136," 1,030,185 "," 12,994 ",16107,Card,Female,38,13382,2016-02-15,Family Day
10007451,Pink Cab,SAN DIEGO CA,3.09,34.08,32.754," 959,307 "," 69,995 ",19076,Card,Male,19,2428,2016-02-15,Family Day
10007453,Pink Cab,SAN DIEGO CA,2.26,27.39,27.12," 959,307 "," 69,995 ",18047,Cash,Female,30,19211,2016-02-15,Family Day
10007662,Pink Cab,WASHINGTON DC,2.88,45.33,29.952," 418,859 "," 127,001 ",51553,Cash,Female,60,9912,2016-02-15,Family Day
10007675,Yellow Cab,ATLANTA GA,36.8,673.39,529.92," 814,885 "," 24,701 ",29420,Cash,Female,20,20968,2016-02-15,Family Day
10007712,Yellow Cab,BOSTON MA,4.6,63.81,63.48," 248,968 "," 80,021 ",58312,Card,Female,48,3635,2016-02-15,Family Day
10007717,Yellow Cab,BOSTON MA,10.67,157.88,128.04," 248,968 "," 80,021 ",58149,Card,Female,65,13877,2016-02-15,Family Day
10007724,Yellow Cab,BOSTON MA,27.56,441.78,334.0272," 248,968 "," 80,021 ",58424,Card,Male,26,15550,2016-02-15,Family Day
10007740,Yellow Cab,BOSTON MA,40.25,564.54,560.28," 248,968 "," 80,021 ",57249,Cash,Male,45,21248,2016-02-15,Family Day
10007743,Yellow Cab,BOSTON MA,29.68,443.74,377.5296," 248,968 "," 80,021 ",58284,Card,Male,37,12787,2016-02-15,Family Day
